# s_m,x_m,y_m,trac_dir,kappa_radpm,vx_mps,dist_left_m,dist_right_m
7.799953,23.791558,10.997003,1.472538,0.247136,4.779617,0.367753,1.189522
7.899953,23.800120,11.096632,1.497760,0.257328,4.699393,0.377806,1.165004
7.999952,23.806117,11.196449,1.524004,0.267549,4.618783,0.387137,1.143829
8.099952,23.809439,11.296390,1.551310,0.278679,4.538010,0.416854,1.126125
8.199951,23.809975,11.396385,1.579754,0.290284,4.456960,0.443456,1.112036
8.299950,23.807608,11.496353,1.609379,0.302276,4.375402,0.466961,1.091063
8.399950,23.802221,11.596203,1.640219,0.314570,4.292968,0.487385,1.066977
8.499949,23.793696,11.695834,1.672299,0.327055,4.209119,0.504746,1.047105
8.599949,23.781935,11.795135,1.705077,0.328155,4.201867,0.522479,1.031642
8.699948,23.766923,11.893997,1.737938,0.329098,4.195682,0.537444,1.021567
8.799948,23.748665,11.992311,1.770904,0.330271,4.173782,0.549544,1.016620
8.899947,23.727171,12.089969,1.803999,0.331661,4.077906,0.558838,1.016088
8.999946,23.702450,12.186860,1.837243,0.333248,3.971578,0.565370,1.019996
9.099946,23.674478,12.282863,1.871838,0.359678,3.866850,0.569110,1.035558
9.199945,23.643071,12.377796,1.909219,0.388125,3.764104,0.570187,1.058288
9.299945,23.608004,12.471439,1.949495,0.417512,3.663082,0.568285,1.087434
9.399944,23.569059,12.563534,1.992739,0.447421,3.563106,0.563260,1.124007
9.499943,23.526034,12.653795,2.038976,0.477249,3.462842,0.554982,1.169388
9.599943,23.478785,12.741917,2.087046,0.483495,3.439511,0.543209,1.224348
9.699942,23.427331,12.827652,2.135722,0.490269,3.414704,0.526065,1.289485
9.799942,23.371736,12.910762,2.185144,0.498372,3.385685,0.488591,1.366066
9.899941,23.312070,12.990998,2.235435,0.507618,3.353418,0.445428,1.383031
9.999940,23.248409,13.068102,2.286698,0.517771,3.318970,0.395768,1.379042
10.099940,23.180838,13.141804,2.339192,0.532754,3.269921,0.365724,1.383962
10.199939,23.109438,13.211801,2.393341,0.550660,3.213911,0.361897,1.398343
10.299939,23.034293,13.277760,2.449404,0.570946,3.153617,0.354878,1.423023
10.399938,22.955507,13.339322,2.507593,0.593094,3.091300,0.346514,1.369138
10.499937,22.873210,13.396104,2.568061,0.616407,3.029310,0.341434,1.281220
10.599937,22.787599,13.447753,2.629197,0.604317,3.061017,0.369509,1.208195
10.699936,22.699024,13.494137,2.688982,0.591758,3.094962,0.392048,1.149303
10.799936,22.607859,13.535199,2.747626,0.581518,3.123435,0.409534,1.102743
10.899935,22.514461,13.570892,2.805372,0.573869,3.145191,0.422306,1.035803
10.999934,22.419168,13.601167,2.862492,0.569005,3.159248,0.441426,0.978345
11.099934,22.322308,13.625976,2.919095,0.563029,3.176766,0.460650,0.931886
11.199933,22.224205,13.645295,2.975146,0.558250,3.190973,0.475320,0.895435
11.299933,22.125177,13.659108,3.030799,0.555087,3.200476,0.485678,0.873384
11.399932,22.025534,13.667405,3.086221,0.553639,3.204853,0.491885,0.859892
11.499931,21.925585,13.670173,3.141585,0.553955,3.203895,0.494033,0.854657
11.599931,21.825636,13.667417,3.196577,0.545121,3.230945,0.493882,0.861716
11.699930,21.725985,13.659218,3.250641,0.536362,3.258413,0.493946,0.881537
11.799930,21.626917,13.645688,3.303894,0.528931,3.282239,0.490047,0.909570
11.899929,21.528702,13.626937,3.356478,0.523012,3.301578,0.482150,0.946060
11.999928,21.431602,13.603077,3.408551,0.518737,3.315744,0.470166,0.971815
12.099928,21.335875,13.574199,3.460745,0.526458,3.290282,0.453990,1.001168
12.199927,21.241800,13.540323,3.513909,0.537102,3.256065,0.440051,1.039581
12.299927,21.149681,13.501444,3.568218,0.549322,3.218003,0.437768,1.088008
12.399926,21.059836,13.457565,3.623815,0.562789,3.177475,0.431313,1.137993
12.499925,20.972603,13.408702,3.680804,0.577090,3.135977,0.420548,1.198147
12.599925,20.888324,13.354903,3.738669,0.579262,3.129806,0.405215,1.271460
12.699924,20.807302,13.296314,3.796744,0.582719,3.120056,0.389041,1.359302
12.799924,20.729832,13.233103,3.855306,0.588956,3.102680,0.376692,1.429017
12.899923,20.656219,13.165441,3.914623,0.597809,3.078475,0.359692,1.400727
12.999922,20.586781,13.093501,3.974947,0.609038,3.048525,0.342296,1.383607
13.099922,20.521818,13.017496,4.034975,0.587810,3.105852,0.403674,1.377674
13.199921,20.461432,12.937804,4.092513,0.563161,3.176377,0.479241,1.382407
13.299921,20.405628,12.854838,4.147662,0.540153,3.246445,0.541815,1.397052
13.399920,20.354386,12.768978,4.200618,0.519374,3.313623,0.574505,1.311528
13.499919,20.307671,12.680572,4.251626,0.501253,3.375536,0.602659,1.238574
13.599919,20.265442,12.589938,4.300762,0.481014,3.448726,0.626752,1.177477
13.699918,20.227619,12.497377,4.347830,0.460400,3.520164,0.647211,1.126711
13.799918,20.194096,12.403173,4.392862,0.440393,3.590416,0.664322,1.090590
13.899917,20.164754,12.307582,4.435941,0.421370,3.659846,0.682990,1.067072
13.999916,20.139465,12.210840,4.477179,0.403615,3.728595,0.699623,1.050182
14.099916,20.118088,12.113159,4.516212,0.375601,3.796649,0.713425,1.039346
14.199915,20.100393,12.014743,4.552278,0.345724,3.867740,0.724676,1.027157
14.299915,20.086111,11.915773,4.585361,0.315988,3.942105,0.733531,1.006701
14.399914,20.074963,11.816401,4.615491,0.286704,4.019225,0.740127,0.990978
14.499913,20.066668,11.716749,4.642723,0.258047,4.098379,0.744817,0.979330
14.599913,20.060965,11.616915,4.667689,0.242946,4.179097,0.747667,0.970707
14.699912,20.057688,11.516971,4.691321,0.229699,4.258422,0.748549,0.964028
14.799912,20.056708,11.416979,-1.569557,0.216454,4.336215,0.747527,0.960221
14.899911,20.057892,11.316988,-1.548571,0.203279,4.412701,0.744667,0.959058
14.999911,20.061108,11.217042,-1.528897,0.190224,4.488044,0.740032,0.961146
