# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 17.7337
# raceline_length_m: 65.8817
# generated: 2026-08-20 11:51:54
# s_m;x_m;y_m;trac_dir;kappa_radpm;vx_mps;dist_left_m;dist_right_m
32.042481;3.724948;-0.292729;-0.136208;-0.177282;4.387958;0.361073;0.698743
32.341943;4.020602;-0.340203;-0.176078;-0.067288;4.614391;0.411567;0.654923
32.641406;4.315263;-0.393611;-0.175687;0.069881;4.851871;0.465781;0.600635
32.940868;4.610830;-0.441681;-0.145011;0.116099;5.054995;0.512056;0.549082
33.240330;4.907882;-0.479461;-0.106872;0.138639;4.902909;0.547586;0.508439
33.539793;5.206249;-0.504723;-0.059961;0.178503;4.552388;0.570709;0.481142
33.839255;5.505523;-0.514003;0.000188;0.223045;4.191754;0.578773;0.470761
34.138718;5.804699;-0.502832;0.079665;0.321023;3.878173;0.569226;0.485785
34.438180;6.101332;-0.462956;0.193502;0.439054;3.616056;0.541857;0.549050
34.737643;6.390205;-0.384997;0.336789;0.508282;3.351133;0.485578;0.660654
35.037105;6.663791;-0.264032;0.499452;0.580739;3.125632;0.403765;0.844874
35.336568;6.912611;-0.098101;0.676020;0.575740;3.139828;0.291114;0.897647
35.636030;7.129225;0.108165;0.844846;0.555715;3.198583;0.416403;0.901437
35.935492;7.308810;0.347398;1.006404;0.510789;3.342551;0.653539;0.848883
36.234955;7.449851;0.611275;1.150678;0.455078;3.533962;0.765093;0.629536
36.534417;7.553841;0.891889;1.277218;0.379560;3.714866;0.843662;0.484051
36.833880;7.625378;1.182554;1.377215;0.289113;3.916063;0.912203;0.382558
37.133342;7.671412;1.478387;1.451938;0.213687;4.146471;0.966687;0.345004
37.432805;7.698436;1.776592;1.505390;0.143326;4.385939;1.002710;0.344344
37.732267;7.712454;2.075711;1.540741;0.104256;4.626731;0.997667;0.316477
38.031729;7.717091;2.375127;1.568840;0.083409;4.855003;0.983973;0.294268
38.331192;7.714140;2.674569;1.592450;0.081538;5.067609;0.973093;0.292361
38.630654;7.703854;2.973846;1.618347;0.091399;5.259885;0.956765;0.297977
38.930117;7.685248;3.272718;1.649420;0.125961;5.361221;0.955726;0.337827
39.229579;7.655343;3.570658;1.694816;0.177312;5.085716;0.949720;0.391553
39.529042;7.609797;3.866593;1.753430;0.204106;4.806611;0.933325;0.421652
39.828504;7.546301;4.159196;1.816048;0.214110;4.486742;0.903593;0.475308
40.127966;7.463962;4.447055;1.885765;0.271657;4.182166;0.857730;0.562247
40.427429;7.358404;4.727176;1.981347;0.367100;3.946578;0.775574;0.692033
40.726891;7.222973;4.994060;2.101996;0.421467;3.693420;0.669042;0.889808
41.026354;7.055051;5.241755;2.232708;0.452964;3.558046;0.519518;0.965274
41.325816;6.855228;5.464475;2.372261;0.471261;3.485643;0.314833;0.993654
41.625279;6.626040;5.656827;2.515152;0.485278;3.432931;0.304256;0.963805
41.924741;6.371496;5.814077;2.659719;0.455484;3.547821;0.385640;0.752302
42.224204;6.097926;5.935407;2.784919;0.382102;3.724425;0.468585;0.599212
42.523666;5.812194;6.024584;2.890849;0.333919;3.921184;0.530271;0.467846
42.823128;5.518950;6.084737;2.986138;0.302864;4.116582;0.578625;0.388838
43.122591;5.221453;6.118208;3.069564;0.234277;4.300237;0.604320;0.348295
43.422053;4.922296;6.130906;3.123326;0.124970;4.506138;0.611302;0.329676
43.721516;4.622843;6.132237;3.147730;0.060771;4.740257;0.608010;0.322945
44.020978;4.323415;6.127933;3.163333;0.043406;4.967724;0.584006;0.306656
44.320441;4.024066;6.119746;3.173558;0.023698;5.178247;0.554332;0.292758
44.619903;3.724781;6.109445;3.177331;0.001507;5.374227;0.562271;0.325941
44.919365;3.425501;6.098973;3.175230;-0.009507;5.556673;0.576992;0.361703
45.218828;3.126195;6.089297;3.172699;-0.007393;5.726640;0.572650;0.373950
45.518290;2.826868;6.080287;3.170704;-0.006735;5.885694;0.565271;0.384839
45.817753;2.527524;6.071889;3.168517;-0.007874;6.034986;0.538820;0.373344
46.117215;2.228160;6.064196;3.166014;-0.008617;6.175530;0.509513;0.360720
46.416678;1.928778;6.057273;3.163399;-0.008849;6.308208;0.496423;0.362548
46.716140;1.629378;6.051144;3.160708;-0.009182;6.433749;0.486625;0.363889
47.015603;1.329963;6.045839;3.157888;-0.009654;6.552781;0.479623;0.373310
47.315065;1.030534;6.041399;3.154927;-0.010112;6.665853;0.473776;0.382049
47.614527;0.731092;6.037866;3.151833;-0.010548;6.773443;0.464817;0.473535
47.913990;0.431641;6.035279;3.148612;-0.010945;6.875975;0.456316;0.565906
48.213452;0.132183;6.033673;3.145283;-0.011282;6.973825;0.460115;0.535311
48.512915;-0.167279;6.033079;3.141844;-0.011798;7.067316;0.465974;0.500625
48.812377;-0.466741;6.033545;3.138191;-0.012596;7.156727;0.466642;0.492448
49.111840;-0.766199;6.035139;3.134338;-0.012718;7.242365;0.468109;0.484760
49.411302;-1.065648;6.037866;3.130679;-0.011718;7.324479;0.494672;0.463604
49.710764;-1.365087;6.041650;3.127186;-0.013179;7.403258;0.522619;0.440159
50.010227;-1.664507;6.046641;3.122376;-0.018944;7.478493;0.554822;0.406741
50.309689;-1.963895;6.053315;3.116298;-0.015996;7.550819;0.586300;0.370528
50.609152;-2.263250;6.061321;3.114354;0.003011;7.620646;0.586728;0.371146
50.908614;-2.562612;6.069088;3.117244;0.005165;7.531474;0.586447;0.377115
51.208077;-2.861980;6.076604;3.114211;-0.025423;7.254002;0.577252;0.378693
51.507539;-3.161281;6.086373;3.102814;-0.039774;6.972794;0.570752;0.377556
51.807002;-3.460456;6.099481;3.093743;-0.020816;6.677614;0.580079;0.362326
52.106464;-3.759543;6.114464;3.090029;-0.008587;6.358858;0.590757;0.344302
52.405926;-4.058585;6.130318;3.087107;-0.010925;6.020877;0.591503;0.318609
52.705389;-4.357575;6.147126;3.084307;0.004796;5.662614;0.594248;0.291655
53.004851;-4.656605;6.163204;3.094301;0.061983;5.295777;0.617275;0.306299
53.304314;-4.955872;6.173750;3.120666;0.101268;4.920700;0.634237;0.328126
53.603776;-5.255318;6.175550;3.150235;0.096107;4.504043;0.647691;0.307130
53.903239;-5.554691;6.168674;3.180441;0.144413;4.059376;0.653040;0.295148
54.202701;-5.853360;6.147769;3.251999;0.334585;3.721436;0.636429;0.321947
54.502163;-6.148307;6.097160;3.379242;0.486154;3.429711;0.598730;0.382140
54.801626;-6.432937;6.005026;3.532849;0.542012;3.240619;0.539994;0.474992
55.101088;-6.698851;5.868098;3.704513;0.605400;3.058138;0.452016;0.600519
55.400551;-6.935417;5.685251;3.899816;0.707650;2.816400;0.343543;0.734714
55.700013;-7.127942;5.456745;4.129705;0.781688;2.671279;0.302625;0.819526
55.999476;-7.263822;5.190530;4.345283;0.664367;2.912025;0.444537;0.688592
56.298938;-7.344064;4.902466;4.532713;0.592326;3.093402;0.559991;0.603045
56.598400;-7.372345;4.604688;4.699010;0.519057;3.310056;0.640377;0.448328
56.897863;-7.354088;4.306045;-1.438811;0.438605;3.505180;0.699049;0.361952
57.197325;-7.297707;4.012084;-1.331998;0.274500;3.708208;0.733459;0.319789
57.496788;-7.217302;3.723661;-1.273381;0.134065;3.983464;0.747360;0.312247
57.796250;-7.124479;3.438962;-1.240205;0.087288;4.275232;0.749993;0.322707
58.095713;-7.024252;3.156775;-1.221408;0.030034;4.543822;0.745057;0.315928
58.395175;-6.921985;2.875317;-1.228523;-0.077529;4.786630;0.737509;0.297077
58.694638;-6.826282;2.591579;-1.267702;-0.180095;4.683129;0.740235;0.298269
58.994100;-6.745765;2.303199;-1.333232;-0.257914;4.408732;0.763518;0.295052
59.293562;-6.687748;2.009511;-1.422072;-0.329648;4.192082;0.779703;0.303620
59.593025;-6.658567;1.711608;-1.526056;-0.366130;3.971781;0.821058;0.294362
59.892487;-6.662202;1.412334;4.641435;-0.396356;3.812577;0.769587;0.302521
60.191950;-6.700284;1.115456;4.530877;-0.342652;3.974088;0.744963;0.293751
60.491412;-6.768629;0.824011;4.435639;-0.292200;4.150391;0.701521;0.341327
60.790875;-6.861955;0.539540;4.358647;-0.221829;4.336965;0.686929;0.366146
61.090337;-6.973978;0.261862;4.302716;-0.150567;4.545689;0.678595;0.375508
61.389799;-7.098253;-0.010582;4.270416;-0.065052;4.766061;0.682150;0.366834
61.689262;-7.227818;-0.280564;4.263746;0.019580;4.990467;0.683946;0.336864
61.988724;-7.355911;-0.551244;4.280743;0.093961;4.888817;0.688987;0.309920
62.288187;-7.476333;-0.825406;4.320009;0.168383;4.524271;0.699361;0.296528
62.587649;-7.582731;-1.105278;4.382078;0.246398;4.189400;0.697547;0.303110
62.887112;-7.668197;-1.392191;4.467556;0.325222;3.881996;0.687561;0.343984
63.186574;-7.725042;-1.686049;4.580263;0.429429;3.613593;0.656087;0.411036
63.486037;-7.743686;-1.984668;-1.557955;0.536226;3.258845;0.605908;0.512890
63.785499;-7.714652;-2.282348;-1.384701;0.625666;3.005639;0.523208;0.626357
64.084961;-7.630612;-2.569241;-1.181816;0.725261;2.779918;0.412305;0.781259
64.384424;-7.487452;-2.831566;-0.957557;0.786932;2.661769;0.291455;0.764174
64.683886;-7.286718;-3.052710;-0.703263;0.911494;2.460029;0.359591;0.671789
64.983349;-7.036259;-3.215513;-0.458948;0.724491;2.781486;0.448361;0.529059
65.282811;-6.756205;-3.320232;-0.263087;0.596386;3.061163;0.518989;0.388061
65.582274;-6.461963;-3.374275;-0.108431;0.432554;3.285347;0.575168;0.351519
