s,x,y,yaw,curvature,v_ref,width_left,width_right
75.300000,-9.692727,5.476971,4.767635,0.089630,4.563157,0.906981,0.906981
75.400000,-9.686705,5.377152,4.764236,0.047653,4.605392,0.902695,0.902695
75.500000,-9.681506,5.277293,4.758267,0.016675,4.639325,0.899926,0.899926
75.600000,-9.679230,5.177349,4.751572,-0.003978,4.662413,0.897833,0.897833
75.700000,-9.678940,5.077374,4.745689,-0.015783,4.683452,0.896740,0.896740
75.800000,-9.675431,4.977435,4.741537,-0.021154,4.703249,0.897148,0.897148
75.900000,-9.671828,4.877500,4.738105,-0.024917,4.721717,0.899758,0.899758
76.000000,-9.668733,4.777549,4.735295,-0.028407,4.739297,0.906717,0.906717
76.100000,-9.666931,4.677568,4.732876,-0.032164,4.755856,0.916028,0.916028
76.200000,-9.666100,4.577571,4.731283,-0.035182,4.771227,0.925844,0.925844
76.300000,-9.665015,4.477578,4.729693,-0.038549,4.785373,0.927557,0.927557
76.400000,-9.663450,4.377590,4.727173,-0.042672,4.798343,0.923298,0.923298
76.500000,-9.661660,4.277606,4.722801,-0.047435,4.810119,0.919089,0.919089
76.600000,-9.660014,4.177620,4.716199,-0.052059,4.820400,0.918045,0.918045
76.700000,-9.658873,4.077626,4.708374,-0.054400,4.828985,0.919606,0.919606
76.800000,-9.658686,3.977627,4.700864,-0.052837,4.836240,0.919461,0.919461
76.900000,-9.659930,3.877636,4.693300,-0.049385,4.842483,0.914727,0.914727
77.000000,-9.662562,3.777671,4.685808,-0.044214,4.849595,0.909303,0.909303
77.100000,-9.666276,3.677741,4.678765,-0.037401,4.855941,0.904130,0.904130
77.200000,-9.670795,3.577843,4.672997,-0.028698,4.861052,0.902667,0.902667
77.300000,-9.675902,3.477974,4.669309,-0.017924,4.857954,0.906505,0.906505
77.400000,-9.681055,3.378107,4.668024,-0.005730,4.850896,0.911706,0.911706
77.500000,-9.685685,3.278214,4.669096,0.006912,4.842066,0.917448,0.917448
77.600000,-9.689602,3.178292,4.672107,0.019315,4.847453,0.923742,0.923742
77.700000,-9.692946,3.078348,4.676473,0.031036,4.866128,0.928648,0.928648
77.800000,-9.695995,2.978394,4.682353,0.039971,4.876588,0.931998,0.931998
77.900000,-9.698709,2.878431,4.689151,0.045399,4.850766,0.937477,0.937477
78.000000,-9.700602,2.778451,4.696125,0.047726,4.780498,0.948104,0.948104
78.100000,-9.701825,2.678459,4.703906,0.044771,4.710300,0.962089,0.962089
78.200000,-9.702656,2.578462,4.711538,0.037080,4.644734,0.975157,0.975157
78.300000,-9.702991,2.478463,4.716943,0.028471,4.686283,0.986804,0.986804
78.400000,-9.702813,2.378464,4.718755,0.023531,4.725531,1.004960,1.004960
78.500000,-9.702115,2.278467,4.717124,0.025290,4.648617,1.034370,1.034370
78.600000,-9.700370,2.178487,4.712760,0.036206,4.548963,1.066601,1.066601
78.700000,-9.697210,2.078540,4.706925,0.058147,4.455623,1.091788,1.091788
78.800000,-9.695683,1.978552,4.701634,0.091981,4.374721,1.107936,1.107936
78.900000,-9.694650,1.878557,4.699003,0.138816,4.361571,1.121112,1.121112
79.000000,-9.693255,1.778567,4.701950,0.198188,4.408147,1.133429,1.133429
79.100000,-9.696465,1.678683,4.713191,0.268900,4.455455,1.130467,1.130467
79.200000,-9.701019,1.578816,4.735323,0.349608,4.505480,1.091963,1.091963
79.300000,-9.701540,1.478817,4.770718,0.439231,4.556205,1.036587,1.036587
79.400000,-9.695420,1.379025,4.821170,0.536638,4.597083,1.050109,1.050109
79.500000,-9.683029,1.279900,4.887682,0.639936,4.557996,1.064738,1.064738
79.600000,-9.663079,1.182062,4.970030,0.744916,4.598683,1.067406,1.067406
79.700000,-9.634345,1.086363,5.067120,0.844874,4.642159,1.281917,1.281917
79.800000,-9.596537,0.993786,5.176187,0.930633,4.657059,1.354002,1.354002
79.900000,-9.547552,0.906629,5.294276,0.993871,4.600342,1.381826,1.381826
80.000000,-9.488372,0.826206,5.417205,1.027773,4.519535,1.409935,1.409935
80.100000,-9.419236,0.754301,5.540755,1.031146,4.443230,1.437035,1.437035
80.200000,-9.341268,0.692133,5.662654,1.005969,4.421652,1.446673,1.446673
80.300000,-9.256141,0.640126,5.780612,0.954162,4.469716,1.434779,1.434779
80.400000,-9.165566,0.598118,5.891616,0.879742,4.524355,1.423349,1.423349
80.500000,-9.070992,0.565651,5.993113,0.788188,4.585827,1.415960,1.415960
80.600000,-8.973220,0.544659,6.083472,0.683509,4.650889,1.410360,1.410360
80.700000,-8.874280,0.530775,6.158808,0.574878,4.710778,1.399581,1.399581
80.800000,-8.774690,0.522537,6.216982,0.470459,4.764691,1.386948,1.386948
80.900000,-8.674761,0.519002,6.258990,0.372798,4.816324,1.363853,1.363853
81.000000,-8.574774,0.520641,6.286472,0.282515,4.866442,1.341670,1.341670
81.100000,-8.474855,0.524384,6.301802,0.199396,4.916116,1.321018,1.321018
81.200000,-8.374952,0.528754,6.307370,0.123435,4.965599,1.305251,1.305251
81.300000,-8.275015,0.532318,6.305045,0.055833,4.994035,1.294269,1.294269
81.400000,-8.175040,0.534521,6.296729,-0.002029,5.000000,1.280536,1.280536
81.500000,-8.075072,0.532908,6.284417,-0.049026,5.000000,1.258748,1.258748
