s,x,y,yaw,curvature,v_ref,width_left,width_right
7.498094,7.464503,-0.083408,0.384709,0.396890,3.426805,0.610900,0.634665
7.598064,7.556446,-0.044160,0.421118,0.331535,3.270836,0.599649,0.700190
7.698036,7.647037,-0.001881,0.451638,0.320706,3.080855,0.585044,0.770033
7.798004,7.736141,0.043443,0.492380,0.495233,2.907551,0.568747,0.823138
7.897966,7.822884,0.093122,0.550832,0.674657,2.763444,0.549083,0.891036
7.997917,7.906076,0.148524,0.626705,0.802197,2.634603,0.525990,0.968151
8.097868,7.984680,0.210261,0.703861,0.741912,2.734124,0.496675,1.003200
8.197822,8.058493,0.277660,0.775222,0.686686,2.831120,0.458495,1.051305
8.297780,8.127506,0.349970,0.841580,0.657495,2.918414,0.436117,1.111978
8.397736,8.191546,0.426717,0.910241,0.717138,2.796581,0.411977,1.131323
8.497689,8.249918,0.507854,0.985155,0.782186,2.670372,0.391191,1.094639
8.597636,8.301770,0.593300,1.066534,0.827631,2.590983,0.481901,1.072094
8.697586,8.346499,0.682682,1.145999,0.762361,2.692485,0.593543,1.065019
8.797539,8.384290,0.775216,1.219095,0.700788,2.791592,0.638621,1.021335
8.897496,8.415507,0.870173,1.286421,0.657914,2.889674,0.665581,0.969922
8.997453,8.440317,0.967002,1.354194,0.698998,2.834818,0.687313,0.931169
9.097407,8.458300,1.065325,1.426388,0.746110,2.738374,0.703365,0.850468
9.197358,8.468903,1.164712,1.503364,0.770012,2.692796,0.723299,0.773626
9.297314,8.472112,1.264617,1.570822,0.578998,2.789777,0.748083,0.709982
9.397280,8.469534,1.364549,1.619197,0.389495,2.915534,0.774768,0.658797
9.497252,8.463062,1.464312,1.648974,0.227933,3.057664,0.803655,0.618311
9.597225,8.454034,1.563876,1.674333,0.279426,3.200527,0.823786,0.595235
9.697196,8.442229,1.663148,1.704849,0.331017,3.326780,0.838380,0.575434
9.797166,8.427146,1.761973,1.740446,0.371064,3.436996,0.849674,0.557966
9.897137,8.408547,1.860199,1.774368,0.307614,3.538443,0.858015,0.532995
9.997109,8.386935,1.957807,1.801978,0.244860,3.644194,0.861787,0.512537
10.097083,8.362939,2.054858,1.823366,0.185008,3.752952,0.863824,0.500243
10.197057,8.337125,2.151442,1.839913,0.145968,3.863165,0.864361,0.501184
10.297032,8.309904,2.247640,1.852547,0.106747,3.971950,0.861264,0.503659
10.397007,8.281658,2.343541,1.861264,0.069314,4.078643,0.855615,0.506187
10.496982,8.252721,2.439237,1.867312,0.051694,4.182647,0.849140,0.507691
10.596957,8.223291,2.534783,1.871600,0.034076,4.282987,0.845293,0.509711
10.696933,8.193534,2.630227,1.874109,0.012127,4.379853,0.847914,0.509856
10.796908,8.163730,2.725657,1.871719,-0.059939,4.472119,0.850597,0.507889
10.896883,8.134499,2.821263,1.862123,-0.132047,4.555348,0.853047,0.505426
10.996857,8.106532,2.917245,1.845331,-0.200444,4.567123,0.849388,0.488258
11.096831,8.080431,3.013751,1.824168,-0.222946,4.451114,0.847894,0.464168
11.196804,8.056487,3.110815,1.800748,-0.245585,4.336599,0.848388,0.438060
11.296776,8.034934,3.208437,1.775060,-0.269061,4.223598,0.848205,0.427273
11.396748,8.016031,3.306605,1.746403,-0.304337,4.117631,0.851387,0.414624
11.496720,8.000123,3.405303,1.714189,-0.340168,4.020069,0.856199,0.404552
11.596690,7.987581,3.504483,1.678386,-0.373577,3.930790,0.854071,0.399566
11.696659,7.978689,3.604056,1.641490,-0.364596,3.980379,0.856747,0.391431
11.796629,7.973432,3.703888,1.605468,-0.356110,4.028934,0.859009,0.397408
11.896600,7.971732,3.803844,1.570264,-0.348811,4.072095,0.845809,0.402630
11.996570,7.973536,3.903798,1.535166,-0.353419,4.044694,0.837232,0.411094
12.096540,7.978870,4.003626,1.499578,-0.358625,4.014370,0.827520,0.427633
12.196510,7.987779,4.103198,1.463446,-0.361901,3.995617,0.802611,0.440906
12.296481,8.000199,4.202394,1.429909,-0.308965,4.054055,0.782846,0.455518
12.396453,8.015678,4.301161,1.401664,-0.256143,4.125177,0.766303,0.469439
12.496426,8.033680,4.399500,1.378674,-0.205530,4.204738,0.750218,0.482551
12.596400,8.053772,4.497434,1.358263,-0.202789,4.289574,0.736941,0.521092
12.696374,8.075845,4.594940,1.338127,-0.200045,4.370763,0.724084,0.557248
12.796347,8.099864,4.691986,1.318265,-0.196799,4.448612,0.704661,0.590370
12.896321,8.125762,4.788547,1.299581,-0.176979,4.523487,0.687687,0.620761
12.996296,8.153365,4.884635,1.282876,-0.157216,4.598529,0.672414,0.649636
13.096270,8.182475,4.980278,1.268142,-0.137589,4.673598,0.651288,0.672237
13.196245,8.212900,5.075511,1.255294,-0.119430,4.748524,0.631996,0.692279
13.296220,8.244459,5.170373,1.244262,-0.101259,4.822975,0.614262,0.711396
13.396195,8.276978,5.264912,1.235046,-0.083093,4.896821,0.599550,0.735383
13.496170,8.310280,5.359177,1.227665,-0.064562,4.969913,0.585990,0.759921
13.596145,8.344190,5.453226,1.222137,-0.046029,5.042104,0.573259,0.784127
