s,x,y,yaw,curvature,v_ref,width_left,width_right
7.298160,-7.225494,0.155027,-0.334841,-0.175041,5.000000,0.814885,1.581698
7.398134,-7.319622,0.188713,-0.352587,-0.179976,5.000000,0.866026,1.590076
7.498107,-7.413128,0.224087,-0.370828,-0.184923,5.000000,0.909839,1.597056
7.598081,-7.505964,0.261184,-0.389561,-0.189842,5.000000,0.951810,1.602642
7.698054,-7.598079,0.300036,-0.408790,-0.194835,5.000000,0.992206,1.603793
7.798028,-7.689420,0.340674,-0.428521,-0.199966,5.000000,1.029427,1.582311
7.898001,-7.779931,0.383131,-0.448786,-0.205435,5.000000,1.069735,1.559448
7.997974,-7.869550,0.427437,-0.469601,-0.210998,5.000000,1.126031,1.535152
8.097947,-7.958214,0.473624,-0.490974,-0.216368,5.000000,1.190901,1.509354
8.197921,-8.045859,0.521718,-0.512837,-0.221023,5.000000,1.260695,1.481937
8.297894,-8.132420,0.571736,-0.535171,-0.225797,5.000000,1.352876,1.452490
8.397866,-8.217830,0.623695,-0.557988,-0.230634,5.000000,1.451631,1.390238
8.497839,-8.302019,0.677610,-0.581287,-0.235482,4.951055,1.549827,1.324262
8.597812,-8.384915,0.733491,-0.605077,-0.240454,4.874180,1.600768,1.254142
8.697784,-8.466444,0.791349,-0.629386,-0.247006,4.795233,1.656343,1.179405
8.797757,-8.546516,0.851206,-0.654652,-0.258469,4.717454,1.717258,1.106032
8.897729,-8.625015,0.913112,-0.681074,-0.270135,4.640778,1.784248,1.032386
8.997701,-8.701814,0.977115,-0.708640,-0.279382,4.563002,1.783305,0.953697
9.097673,-8.776800,1.043232,-0.736629,-0.280593,4.552918,1.776516,0.875084
9.197644,-8.849902,1.111427,-0.764753,-0.282055,4.540835,1.773932,0.800621
9.297616,-8.921052,1.181655,-0.793026,-0.283091,4.532329,1.775579,0.344734
9.397588,-8.990187,1.253867,-0.821281,-0.282172,4.539867,1.781477,0.356626
9.497560,-9.057259,1.328001,-0.849454,-0.281481,4.545566,1.758789,0.356255
9.597532,-9.122217,1.403993,-0.877564,-0.280436,4.554225,1.700368,0.348674
9.697503,-9.185021,1.481774,-0.905460,-0.277653,4.577514,1.647396,0.403410
9.797475,-9.245642,1.561269,-0.933087,-0.275075,4.599394,1.599591,0.685454
9.897447,-9.304054,1.642402,-0.960470,-0.272847,4.618555,1.556656,0.721141
9.997419,-9.360232,1.725097,-0.987667,-0.271257,4.632376,1.459433,0.753897
10.097391,-9.414145,1.809285,-1.014715,-0.269875,4.644487,1.358740,0.783870
10.197363,-9.465769,1.894898,-1.041620,-0.267316,4.667148,1.265579,0.814377
10.297335,-9.515090,1.981857,-1.067986,-0.260158,4.711982,1.188866,0.848050
10.397308,-9.562132,2.070069,-1.093643,-0.253153,4.756916,1.119537,0.879242
10.497280,-9.606928,2.159444,-1.118633,-0.248332,4.801929,1.052170,0.908107
10.597253,-9.649484,2.249907,-1.143570,-0.250567,4.823915,0.982636,0.940519
10.697225,-9.689761,2.341407,-1.168739,-0.252955,4.800624,0.919398,0.973924
10.797197,-9.727711,2.433896,-1.194141,-0.254419,4.786508,0.876044,1.004636
10.897170,-9.763300,2.527319,-1.219470,-0.252311,4.806868,0.836528,1.032892
10.997142,-9.796522,2.621610,-1.244596,-0.250370,4.825851,0.797782,1.058859
11.097115,-9.827373,2.716703,-1.269540,-0.248881,4.840554,0.762144,1.082629
11.197087,-9.855847,2.812535,-1.294404,-0.248531,4.844034,0.728295,1.104258
11.297060,-9.881932,2.909045,-1.319239,-0.248328,4.846052,0.696490,1.124165
11.397032,-9.905612,3.006172,-1.344061,-0.248198,4.847348,0.667984,1.143513
11.497005,-9.926876,3.103857,-1.368861,-0.247948,4.849843,0.642683,1.160858
11.596977,-9.945712,3.202039,-1.393643,-0.247851,4.850812,0.620499,1.176255
11.696950,-9.962109,3.300657,-1.418424,-0.247928,4.850045,0.601204,1.198483
11.796922,-9.976057,3.399652,-1.443224,-0.248231,4.847019,0.584689,1.230067
11.896895,-9.987544,3.498963,-1.468063,-0.248687,4.842487,0.571111,1.259247
11.996867,-9.996559,3.598528,-1.492954,-0.249289,4.836515,0.551978,1.286124
12.096840,-10.003089,3.698287,-1.517913,-0.250037,4.829130,0.530765,1.300532
12.196812,-10.007124,3.798178,-1.542954,-0.250943,4.820227,0.512549,1.306038
12.296784,-10.008652,3.898138,-1.568094,-0.251992,4.809971,0.516657,1.309831
12.396757,-10.007661,3.998106,-1.593344,-0.253167,4.798572,0.527574,1.311924
12.496729,-10.004140,4.098016,-1.618720,-0.254503,4.785701,0.539018,1.309032
12.596702,-9.998078,4.197805,-1.644238,-0.256037,4.769998,0.531708,1.294801
12.696674,-9.989464,4.297405,-1.669928,-0.257917,4.689295,0.527317,1.278733
12.796646,-9.978285,4.396750,-1.695814,-0.259980,4.602334,0.532840,1.260779
12.896618,-9.964528,4.495772,-1.721915,-0.262045,4.508702,0.548451,1.240876
12.996591,-9.948182,4.594398,-1.748190,-0.263628,4.407693,0.567220,1.226586
13.096563,-9.929242,4.692560,-1.774632,-0.265370,4.298935,0.589461,1.212815
13.196535,-9.907705,4.790185,-1.801263,-0.267912,4.182262,0.615057,1.197126
13.296507,-9.883559,4.887197,-1.828310,-0.273212,4.058137,0.644182,1.179520
13.396479,-9.856771,4.983513,-1.855902,-0.278812,3.925802,0.677060,1.160102
13.496450,-9.827310,5.079045,-1.884042,-0.282208,3.783540,0.713931,1.139248
13.596422,-9.795175,5.173712,-1.911948,-0.276050,3.629339,0.754826,1.115990
13.696394,-9.760440,5.267455,-1.939237,-0.269869,3.460649,0.799735,1.090097
13.796366,-9.723188,5.360228,-1.966004,-0.273050,3.276975,0.848778,1.061513
13.896338,-9.683382,5.451932,-1.995323,-0.313654,3.084086,0.903383,1.031438
13.996308,-9.640719,5.542343,-2.028755,-0.355320,2.878517,0.979872,1.000293
14.096278,-9.594875,5.631180,-2.066043,-0.362559,2.649845,1.072776,0.967635
14.196249,-9.545972,5.718374,-2.095600,-0.228597,2.391212,1.151089,0.927260
14.296223,-9.495087,5.804429,-2.111755,-0.094703,2.083957,1.212717,0.876778
14.396198,-9.443385,5.889998,-2.115268,-0.032385,2.083957,1.268007,0.818195
14.496172,-9.391147,5.975239,-2.129648,-0.255598,2.083957,1.324816,0.763856
14.596142,-9.336748,6.059111,-2.166481,-0.481780,2.083957,1.369374,0.716716
14.696102,-9.278382,6.140262,-2.225362,-0.640534,2.083957,1.433473,0.674305
14.796063,-9.215191,6.217716,-2.282637,-0.505401,2.297806,1.510776,0.364997
14.896030,-9.148163,6.291883,-2.326511,-0.372926,2.493703,1.591473,0.380550
14.996002,-9.078410,6.363500,-2.357587,-0.274355,2.678099,1.563841,0.393537
15.095973,-9.006602,6.433054,-2.387549,-0.325148,2.848216,1.537195,0.387550
15.195943,-8.932571,6.500236,-2.422617,-0.376428,2.997961,1.514394,0.340896
15.295911,-8.856067,6.564584,-2.462689,-0.412060,3.129557,1.496711,0.760177
15.395880,-8.777039,6.625809,-2.501380,-0.361876,3.089746,1.485658,0.783525
15.495851,-8.695848,6.684136,-2.535047,-0.311691,2.886033,1.477560,0.805004
15.595822,-8.612877,6.739905,-2.563889,-0.286328,2.651298,1.395274,0.824867
15.695792,-8.528243,6.793112,-2.598990,-0.416498,2.399589,1.315468,0.840986
15.795758,-8.441469,6.842745,-2.647299,-0.550483,2.123679,1.236574,0.829442
15.895717,-8.352102,6.887527,-2.708870,-0.644072,2.123679,0.947830,0.813862
15.995680,-8.260196,6.926846,-2.762069,-0.420041,2.123679,0.919853,0.791803
16.095651,-8.166713,6.962273,-2.792937,-0.198077,2.123679,0.897039,0.758855
16.195626,-8.072542,6.995840,-2.801956,-0.015379,2.123679,0.880029,0.716248
