s,x,y,yaw,curvature,v_ref,width_left,width_right
7.498063,7.485834,-0.042911,0.445745,0.376400,3.239255,0.584585,0.718450
7.598032,7.575208,0.001878,0.486289,0.434692,3.122638,0.569378,0.786270
7.697997,7.662549,0.050506,0.535224,0.544267,3.017644,0.551863,0.852301
7.797957,7.747111,0.103809,0.594953,0.650598,2.930019,0.530817,0.935287
7.897912,7.828026,0.162493,0.661591,0.682469,2.869458,0.500030,1.010387
7.997869,7.904753,0.226558,0.729016,0.666385,2.908042,0.462023,1.073538
8.097826,7.977045,0.295589,0.795070,0.655018,2.939060,0.416924,1.151316
8.197784,8.044665,0.369203,0.861363,0.671169,2.898114,0.385522,1.188192
8.297739,8.107196,0.447184,0.930328,0.708487,2.815082,0.348175,1.181626
8.397693,8.164050,0.529393,1.003047,0.746248,2.730766,0.442025,1.188103
8.497644,8.214617,0.615609,1.076836,0.729854,2.768892,0.492796,1.208929
8.597600,8.258766,0.705286,1.147082,0.675431,2.887625,0.523308,1.154140
8.697557,8.296764,0.797739,1.212129,0.625822,3.005905,0.549014,1.102719
8.797517,8.328908,0.892390,1.273921,0.610339,3.047072,0.570333,1.064564
8.897476,8.355220,0.988824,1.335437,0.620288,3.020071,0.604869,1.022324
8.997435,8.375505,1.086703,1.397865,0.628588,2.986833,0.642682,0.934504
9.097394,8.389603,1.185663,1.457662,0.567622,3.101505,0.674530,0.862076
9.197359,8.398066,1.285269,1.508625,0.451896,3.221116,0.704685,0.795016
9.297327,8.402022,1.385159,1.548269,0.341199,3.366164,0.734004,0.731239
9.397299,8.402569,1.485129,1.580425,0.302086,3.528816,0.762166,0.681580
9.497270,8.400097,1.585070,1.611440,0.318356,3.681697,0.787277,0.649886
9.597240,8.394446,1.684880,1.644024,0.333485,3.815363,0.809104,0.622214
9.697211,8.385471,1.784447,1.676411,0.314418,3.936209,0.824500,0.594313
9.797183,8.373371,1.883684,1.705553,0.268574,4.054075,0.836612,0.570841
9.897155,8.358611,1.982561,1.730127,0.223033,4.180219,0.847121,0.549942
9.997129,8.341650,2.081085,1.750619,0.186910,4.313144,0.853990,0.529458
10.097102,8.322851,2.179275,1.767852,0.157819,4.448812,0.855695,0.511435
10.197076,8.302505,2.277157,1.782175,0.128731,4.585229,0.856066,0.498899
10.297050,8.280901,2.374769,1.793435,0.096507,4.722339,0.856387,0.496263
10.397026,8.258356,2.472169,1.801336,0.061568,4.860432,0.863881,0.494672
10.497000,8.235212,2.569428,1.805766,0.027058,4.998911,0.871018,0.492055
10.596975,8.211805,2.666624,1.806881,-0.004755,4.946999,0.878104,0.483586
