s,x,y,yaw,curvature,v_ref,width_left,width_right
7.400570,7.394469,-0.136241,0.289773,0.479791,3.453292,0.640389,0.555940
7.500568,7.489566,-0.105320,0.339103,0.490176,3.398476,0.635773,0.599368
7.600566,7.583038,-0.069784,0.387196,0.471608,3.274776,0.628568,0.661559
7.700566,7.674731,-0.029880,0.433443,0.453342,3.123352,0.617787,0.732504
7.800566,7.764502,0.014178,0.480157,0.515188,2.963048,0.603606,0.784657
7.900560,7.851869,0.062818,0.537939,0.641212,2.818346,0.584411,0.849083
8.000548,7.935932,0.116956,0.608522,0.770403,2.692068,0.562225,0.923457
8.100529,8.015601,0.177362,0.689642,0.816387,2.610020,0.536551,0.955502
8.200510,8.090089,0.244055,0.770633,0.804432,2.630688,0.503763,1.003443
8.300492,8.158973,0.316522,0.850777,0.799499,2.639348,0.484403,1.068559
8.400474,8.221842,0.394264,0.930870,0.804762,2.630112,0.461808,1.084057
8.500455,8.278252,0.476812,1.012035,0.819524,2.604671,0.441523,1.051343
8.600435,8.327709,0.563703,1.095000,0.840618,2.569460,0.461878,1.034244
8.700414,8.369713,0.654430,1.178975,0.815390,2.611728,0.564947,1.032808
8.800398,8.404202,0.748277,1.257106,0.747625,2.712308,0.644488,0.987482
8.900385,8.431583,0.844442,1.328676,0.684701,2.811744,0.667510,0.942783
9.000375,8.452302,0.942262,1.394991,0.655299,2.910798,0.686956,0.911787
9.100366,8.466559,1.041231,1.460451,0.654301,2.935589,0.702271,0.836282
9.200357,8.474310,1.140921,1.525968,0.656453,2.930505,0.713606,0.769374
9.300348,8.475532,1.240905,1.590164,0.594901,3.018136,0.734429,0.710819
9.400344,8.470833,1.340791,1.643341,0.468631,3.110226,0.758431,0.661643
9.500346,8.461457,1.440352,1.683962,0.344172,3.221362,0.782120,0.622806
9.600350,8.448630,1.539530,1.713937,0.288582,3.344215,0.804816,0.603555
9.700355,8.432920,1.638293,1.743328,0.299183,3.464445,0.816616,0.588530
9.800360,8.414263,1.736542,1.773775,0.309671,3.574897,0.825946,0.576124
9.900364,8.392585,1.834169,1.804450,0.287584,3.677887,0.832889,0.555218
10.000369,8.368122,1.931136,1.830490,0.233220,3.778084,0.836051,0.538221
10.100376,8.341403,2.027507,1.851111,0.179229,3.881074,0.835797,0.528134
10.200383,8.312957,2.123383,1.866577,0.134616,3.985761,0.833969,0.532023
10.300391,8.283220,2.218868,1.878262,0.099048,4.089718,0.830249,0.537281
10.400399,8.252538,2.314053,1.886386,0.063423,4.191631,0.822169,0.542632
10.500407,8.221253,2.409042,1.890900,0.025889,4.291173,0.813214,0.546642
10.600415,8.189724,2.503950,1.891516,-0.013579,4.387928,0.803704,0.550830
10.700423,8.158323,2.598901,1.888184,-0.053041,4.480214,0.804244,0.553096
10.800431,8.127426,2.694016,1.880926,-0.091714,4.566874,0.805825,0.552275
10.900439,8.097403,2.789411,1.869859,-0.129617,4.639590,0.808453,0.550612
11.000447,8.068619,2.885186,1.855000,-0.167524,4.508411,0.804897,0.537418
11.100453,8.041444,2.981430,1.836343,-0.205833,4.382148,0.802170,0.514315
11.200460,8.016256,3.078212,1.813811,-0.244800,4.262129,0.801803,0.489639
11.300465,7.993445,3.175582,1.787375,-0.283868,4.149543,0.800588,0.476917
11.400469,7.973406,3.273558,1.757108,-0.319989,4.044089,0.802337,0.465588
11.500473,7.956512,3.372124,1.723425,-0.353743,3.945321,0.808198,0.453388
11.600476,7.943115,3.471225,1.686334,-0.388068,3.854394,0.806251,0.449254
11.700477,7.933566,3.570770,1.646280,-0.402808,3.780915,0.808081,0.441974
11.800479,7.928024,3.670618,1.606281,-0.397240,3.808194,0.815239,0.441482
11.900481,7.926454,3.770607,1.566797,-0.392519,3.831777,0.803108,0.446389
12.000483,7.928806,3.870582,1.527958,-0.379683,3.893876,0.795146,0.448056
12.100485,7.934948,3.970396,1.491093,-0.357623,3.954922,0.792203,0.462022
12.200489,7.944656,4.069927,1.456412,-0.336026,4.018542,0.768930,0.474526
12.300493,7.957702,4.169076,1.423862,-0.314969,4.084170,0.750259,0.485585
12.400497,7.973865,4.267766,1.393411,-0.294018,4.151444,0.735785,0.498607
12.500502,7.992923,4.365938,1.365045,-0.273297,4.220184,0.720570,0.509165
12.600507,8.014657,4.463553,1.338738,-0.252782,4.290181,0.708878,0.530685
12.700513,8.038851,4.560588,1.314487,-0.232212,4.361246,0.700337,0.563699
12.800520,8.065293,4.657035,1.292288,-0.211757,4.433247,0.684102,0.594572
12.900526,8.093771,4.752902,1.272126,-0.191459,4.506004,0.670120,0.622317
13.000533,8.124079,4.848205,1.253993,-0.171167,4.579322,0.658509,0.648179
13.100540,8.156015,4.942976,1.237889,-0.150914,4.653029,0.641898,0.672218
13.200548,8.189377,5.037255,1.223785,-0.131594,4.726932,0.625930,0.689175
13.300555,8.223978,5.131086,1.211543,-0.113230,4.800712,0.611606,0.705089
13.400563,8.259639,5.224520,1.201137,-0.094876,4.874089,0.599980,0.720838
13.500571,8.296184,5.317611,1.192648,-0.073030,4.946904,0.589997,0.741782
13.600579,8.333407,5.410434,1.186634,-0.047241,5.019240,0.580920,0.762373
13.700587,8.371067,5.503081,1.183199,-0.021452,5.090956,0.573182,0.782381
13.800596,8.408931,5.595644,1.182031,-0.008960,5.161516,0.566190,0.792818
13.900604,8.446884,5.688171,1.181008,-0.011510,5.230300,0.559301,0.803169
14.000612,8.484943,5.780654,1.179729,-0.014059,5.297207,0.551545,0.813382
14.100620,8.523124,5.873087,1.178822,0.010245,5.362364,0.543376,0.840444
14.200628,8.561196,5.965565,1.182596,0.065229,5.423576,0.535299,0.872805
14.300636,8.598665,6.058289,1.191870,0.120239,5.476923,0.535192,0.907520
14.400644,8.635024,6.151452,1.206022,0.148363,5.505354,0.535361,0.924938
14.500651,8.670011,6.245140,1.220714,0.145467,5.407023,0.533462,0.932115
14.600659,8.703631,6.339327,1.235119,0.142603,5.303189,0.525065,0.940942
14.700666,8.735900,6.433985,1.249543,0.152990,5.198020,0.515321,0.950498
