# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 10.8188
# raceline_length_m: 46.9908
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
9.458219;2.306617;0.301102;-1.476997;-0.029779;6.277698;-6.775032;0.681186;1.748283
9.608349;2.456118;0.314833;-1.481392;-0.028774;6.168737;-6.804591;0.691107;1.778286
9.758479;2.605677;0.327918;-1.485636;-0.027762;6.057327;-6.831209;0.701688;1.802680
9.908610;2.755290;0.340380;-1.489728;-0.026751;5.943381;-6.854998;0.692954;1.826492
10.058741;2.904951;0.352241;-1.493675;-0.025844;5.826799;-6.875154;0.677795;1.844358
10.208870;3.054657;0.363521;-1.497489;-0.024965;5.707483;-6.892890;0.647352;1.834114
10.359000;3.204403;0.374240;-1.501171;-0.024087;5.585301;-6.896447;0.575919;1.823311
10.509130;3.354189;0.384409;-1.504863;-0.025636;5.460320;-6.888200;0.513338;1.811978
10.659261;3.504013;0.394005;-1.508879;-0.027862;5.332566;-6.881353;0.513161;1.793744
10.809392;3.653875;0.402974;-1.513229;-0.030087;5.201807;-6.759214;0.516348;1.736301
10.959522;3.803778;0.411235;-1.518640;-0.044845;5.070086;-6.560556;0.532534;1.678713
11.109652;3.953733;0.418488;-1.526758;-0.063309;4.938878;-6.328332;0.552164;1.621749
11.259783;4.103750;0.424315;-1.537649;-0.081775;4.808924;-6.121860;0.583008;1.564944
11.409914;4.253826;0.428306;-1.551175;-0.097859;4.679777;-5.930014;0.616250;1.484715
11.560044;4.403943;0.430091;-1.567020;-0.113229;4.551185;-5.747969;0.666003;1.400856
11.710175;4.554070;0.429324;-1.585173;-0.128589;4.422973;-5.341372;0.725559;1.315080
11.860305;4.704153;0.425637;-1.606209;-0.154196;4.300405;-4.810134;0.790025;1.227157
12.010435;4.854108;0.418477;-1.631545;-0.183359;4.186959;-4.215336;0.889606;1.135980
12.160566;5.003808;0.407192;-1.661268;-0.212597;4.084951;-3.912910;1.008118;1.041297
12.310697;5.153073;0.391155;-1.694828;-0.232009;3.987927;-3.731343;1.140555;0.941067
12.460827;5.301687;0.369930;-1.730889;-0.248443;3.893153;-3.567934;1.235382;0.856398
12.610957;5.449406;0.343179;-1.769439;-0.265137;3.800320;-3.536982;1.319937;0.780885
12.761088;5.595943;0.310575;-1.810345;-0.279138;3.705998;-3.341479;1.417187;0.697650
12.911219;5.740984;0.271860;-1.853277;-0.292926;3.614629;-3.193572;1.529031;0.639422
13.061349;5.884181;0.226806;-1.898336;-0.307439;3.525092;2.471221;1.512693;0.578819
13.211479;6.025168;0.175252;-1.943796;-0.288922;3.594572;2.590930;1.487221;0.512124
13.361610;6.163792;0.117637;-1.984834;-0.257867;3.666004;2.925525;1.471842;0.580218
13.511741;6.300084;0.054696;-2.021259;-0.227514;3.745023;3.205853;1.464903;0.644101
13.661871;6.434150;-0.012858;-2.053001;-0.194358;3.829743;3.488960;1.383169;0.688589
13.812001;6.566190;-0.084294;-2.079578;-0.159692;3.919863;3.745111;1.270077;0.736002
13.962132;6.696480;-0.158877;-2.100954;-0.125102;4.014349;3.937146;1.168317;0.845942
14.112261;6.825359;-0.235880;-2.116641;-0.081005;4.111340;4.131263;1.075572;0.953986
14.262391;6.953290;-0.314442;-2.125183;-0.032783;4.210711;4.230951;0.989934;1.066117
14.412522;7.080836;-0.393634;-2.126485;0.015436;4.310106;-2.025227;0.909328;1.187235
14.562652;7.208554;-0.472545;-2.121058;0.053855;4.262818;-6.576757;0.831493;1.315646
14.712783;7.336906;-0.550422;-2.110414;0.087945;4.105499;-6.283841;0.771363;1.416082
14.862914;7.466274;-0.626598;-2.094653;0.121998;3.949336;-5.902862;0.716851;1.486413
15.013044;7.597018;-0.700383;-2.073540;0.160829;3.796796;-5.468001;0.660549;1.564482
15.163175;7.729505;-0.770988;-2.046295;0.202152;3.649809;-5.033956;0.618337;1.643989
15.313305;7.864071;-0.837540;-2.012838;0.243519;3.509051;-4.667749;0.576420;1.668991
15.463435;8.000976;-0.899130;-1.973298;0.282627;3.373289;-4.351113;0.540399;1.703442
15.613566;8.140366;-0.954856;-1.927950;0.321635;3.241620;-4.090486;0.550901;1.749762
15.763697;8.282283;-1.003786;-1.876702;0.361063;3.112763;-3.849475;0.555198;1.773624
15.913827;8.426639;-1.044952;-1.819407;0.403445;2.986424;-3.621852;0.550501;1.795793
16.063958;8.573217;-1.077297;-1.755386;0.449810;2.862469;-3.480251;0.543198;1.835586
16.214088;8.721639;-1.099673;-1.684278;0.497508;2.738078;-2.693052;0.551990;1.843536
16.364218;8.871309;-1.110931;-1.606613;0.533585;2.637801;-2.324655;0.558198;1.850332
16.514349;9.021396;-1.110167;-1.523905;0.569215;2.548069;-2.311736;0.540390;1.854766
16.664479;9.170863;-1.096587;-1.435454;0.609702;2.455587;-0.094454;0.513510;1.794967
16.814610;9.318468;-1.069461;-1.342723;0.611479;2.451734;0.871540;0.514068;1.756887
16.964741;9.462969;-1.028919;-1.252197;0.595465;2.487059;0.549156;0.515589;1.690390
17.114871;9.603270;-0.975626;-1.163609;0.585798;2.509061;1.191554;0.512226;1.652769
17.265002;9.738356;-0.910226;-1.076757;0.565866;2.556150;1.737225;0.523356;1.634238
17.415132;9.867408;-0.833598;-0.993847;0.539121;2.623290;1.642869;0.525534;1.640467
17.565262;9.989841;-0.746778;-0.914694;0.516055;2.685240;1.490176;0.526459;1.660005
17.715393;10.105185;-0.650734;-0.838689;0.496777;2.740220;1.460173;0.525471;1.700565
17.865524;10.213052;-0.546360;-0.765450;0.479234;2.793044;1.341106;0.519385;1.721133
18.015654;10.313135;-0.434497;-0.694668;0.464179;2.840695;1.369245;0.525810;1.744992
18.165783;10.405183;-0.315933;-0.626026;0.449754;2.888535;1.440855;0.525861;1.773194
18.315914;10.489023;-0.191427;-0.559593;0.435512;2.938036;1.330750;0.537457;1.786768
18.466044;10.564547;-0.061705;-0.495165;0.423137;2.983025;0.936892;0.544566;1.817785
18.616174;10.631676;0.072554;-0.432342;0.414837;3.014296;0.654068;0.562048;1.820280
18.766305;10.690317;0.210732;-0.370500;0.409234;3.035936;0.491978;0.572208;1.826744
18.916436;10.740362;0.352252;-0.309390;0.405118;3.052112;0.429384;0.604572;1.836938
19.066566;10.781709;0.496553;-0.248823;0.401593;3.066161;0.348468;0.631791;1.838451
19.216696;10.814284;0.643083;-0.188760;0.398777;3.077514;0.174875;0.653232;1.853562
19.366827;10.838033;0.791301;-0.129014;0.397378;3.083196;-0.037298;0.675577;1.862812
19.516958;10.852898;0.940673;-0.069359;0.397675;3.081985;-0.237332;0.690986;1.887754
19.667088;10.858821;1.090664;-0.009531;0.399579;3.074268;-0.403793;0.699711;1.910580
19.817219;10.855739;1.240740;0.050688;0.402859;3.061094;-0.551042;0.718651;1.949847
19.967349;10.843587;1.390356;0.111495;0.407423;3.043024;-0.726034;0.731758;1.983083
20.117479;10.822311;1.538947;0.173105;0.413597;3.019050;-0.874697;0.738246;2.031271
20.267610;10.791852;1.685931;0.235758;0.421288;2.989911;-0.611705;0.748306;2.092287
20.417741;10.752165;1.830695;0.299516;0.426839;2.969364;-0.532999;0.755368;2.170327
20.567871;10.703288;1.972619;0.363943;0.431797;2.951344;-0.733617;0.741546;2.259654
20.718001;10.645316;2.111076;0.429272;0.438811;2.926359;0.582863;0.572049;2.312007
20.868132;10.578368;2.245424;0.495188;0.433219;2.946227;1.691831;0.512989;2.386252
21.018262;10.502834;2.375139;0.559047;0.417767;3.003150;1.586148;0.523805;2.417643
21.168393;10.419312;2.499864;0.620725;0.404249;3.055555;1.912439;0.551139;2.388171
21.318523;10.328379;2.619295;0.680384;0.389071;3.117569;2.381222;0.571862;2.377128
21.468654;10.230630;2.733216;0.737480;0.371693;3.193101;2.436851;0.581502;2.301524
21.618785;10.126675;2.841508;0.792046;0.355446;3.268592;2.445042;0.586210;2.195442
21.768915;10.017088;2.944100;0.844278;0.340512;3.342622;2.513479;0.590160;2.109185
21.919046;9.902403;3.040958;0.894313;0.326147;3.417054;2.501119;0.587982;1.929409
22.069176;9.783111;3.132087;0.942246;0.312551;3.489544;2.497099;0.599641;1.756350
22.219305;9.659675;3.217518;0.988209;0.299863;3.560445;2.495912;0.609884;1.618180
22.369436;9.532516;3.297309;1.032301;0.287590;3.629929;2.504787;0.614626;1.530693
22.519566;9.402031;3.371535;1.074587;0.275843;3.698348;2.519311;0.655272;1.456208
22.669697;9.268586;3.440297;1.115159;0.264712;3.765910;2.535881;0.692858;1.386444
22.819827;9.132510;3.503700;1.154082;0.253863;3.832714;2.559802;0.725099;1.321887
22.969957;8.994118;3.561873;1.191402;0.243374;3.898987;2.587912;0.770695;1.266968
23.120088;8.853692;3.614950;1.227181;0.233313;3.964863;2.613654;0.812431;1.192442
23.270218;8.711493;3.663080;1.261465;0.223443;4.030300;2.639918;0.849402;1.123703
23.420349;8.567759;3.706410;1.294284;0.213818;4.095334;2.669440;0.877317;1.061200
