# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 7.3176
# raceline_length_m: 31.3402
# generated: 2026-07-31 20:28:25
# x_m;y_m;vx_mps;trac_dir;s_m;dist_left_m;dist_right_m
3.647279;-0.257960;5.241564;0.094279;8.310669;0.678088;0.459229
3.746867;-0.247585;5.156249;0.113517;8.410798;0.646524;0.476283
3.846230;-0.235244;5.071988;0.133790;8.510926;0.613677;0.495703
3.945315;-0.220839;4.988694;0.155108;8.611055;0.581023;0.516104
4.044062;-0.204274;4.906231;0.177481;8.711183;0.546125;0.532168
4.142403;-0.185452;4.824476;0.200920;8.811312;0.515358;0.551019
4.240265;-0.164277;4.743312;0.225445;8.911440;0.501133;0.573491
4.337564;-0.140655;4.662530;0.251074;9.011569;0.484674;0.600730
4.434211;-0.114494;4.581751;0.277814;9.111697;0.468603;0.631552
4.530109;-0.085705;4.500693;0.305669;9.211826;0.461536;0.665983
4.625149;-0.054202;4.419001;0.334664;9.311955;0.451999;0.704378
4.719215;-0.019903;4.336613;0.364833;9.412083;0.440683;0.747443
4.812181;0.017276;4.253322;0.396256;9.512212;0.434328;0.786272
4.903907;0.057416;4.168624;0.428972;9.612340;0.425212;0.828310
4.994242;0.100594;4.093608;0.462958;9.712469;0.413466;0.875893
5.083031;0.146868;4.022550;0.498122;9.812597;0.414150;0.929260
5.170108;0.196287;3.952406;0.534507;9.912726;0.411785;0.989619
5.255296;0.248894;3.894483;0.572083;10.012854;0.406285;1.060357
5.338420;0.304705;3.827757;0.610681;10.112983;0.403664;1.140914
5.419297;0.363726;3.726972;0.650338;10.213111;0.398457;1.238070
5.497730;0.425956;3.624419;0.691516;10.313240;0.389866;1.356490
5.573440;0.491470;3.522833;0.735650;10.413369;0.394052;1.477154
5.646077;0.560374;3.421352;0.782950;10.513497;0.397191;1.533137
5.715266;0.632738;3.364145;0.832929;10.613626;0.396366;1.601240
5.780713;0.708503;3.332515;0.883895;10.713754;0.387021;1.664553
5.842176;0.787533;3.297117;0.935857;10.813883;0.371210;1.661563
5.899406;0.869680;3.258140;0.988949;10.914011;0.350580;1.668448
5.952142;0.954781;3.214248;1.043353;11.014140;0.344900;1.685768
